strongs_id,definition,short_def,etymology
H56,"1) to mourn, lament
1a) (Qal) to mourn, lament
1a1) of humans
1a2) of inanimate objects (fig.)
1a2a) of gates
1a2b) of land
1b) (Hiphil)
1b1) to mourn, cause to mourn (fig.)
1c) (Hithpael)
1c1) to mourn
1c2) play the mourner",to bewail,a primitive root;
H57,"1) mourning
1a) for the dead
1b) because of calamity
1c) of rites of mourning
2) mourner (subst.)
2a) for the dead
2b) for calamity",lamenting,from ;
H58,"1) meadow (from verb-to grow green, to withstand)",a meadow,from an unused root (meaning to be grassy);
H59,"1) city in northern Israel near Bethmaachah
2) the place where the ark rested in the field of Joshua at Bethshemesh","Abel, the name of two places in Palestine.",from ; a meadow;
H60,"1) mourning
1a) for the dead
1b) for rites of mourning (metaph)
1c) mourning garb
1d) period of mourning",lamentation,from ;
H61,"1) truly, verily, surely
2) but, however, howbeit
3) contrariwise, nay rather (neg.)","nay, i.e. truly or yet",apparently from through the idea of negation;
H62,"Abel Beth Maachah = ""meadow of the house of Maachah""
1) city in northern Israel near Beth Maachah","Abel of Beth-maakah, a place in Palestine",from and and ; meadow of Beth-Maakah;
H63,"Abel Shittim = ""meadow of acacias""
1) place in lowlands of Moab","Abel hash-Shittim, a place in Palestine","from and the plural of , with the article inserted; meadow of the acacias;"
H64,"Abel Keramim = ""meadow of the vineyards""
1) a place in Ammon","Abel-Keramim, a place in Palestine",from and the plural of ; meadow of vineyards;
H65,"Abel Meholah = ""meadow of dancing""
1) a city of Issachar, birthplace of Elisha","Abel-Mecholah, a place in Palestine",from and xlit mßÁëch├┤wl├óh corrected to mßÁëch├┤l├óh; meadow of dancing;
H66,"Abel Maim = ""meadow of waters""
1) a city in northern Israel (perhaps Abel Beth Maachah)","Abel-Majim, a place in Palestine",from and ; meadow of water;
H67,"Abel Mizraim = ""meadow of Egypt""
1) a place east of the Jordan (perhaps ""as fertile as Egypt"")","Abel-Mitsrajim, a place in Palestine",from and ; meadow of Egypt;
H68,"1) stone (large or small)
1a) common stone (in natural state)
1b) stone, as material
1b1) of tablets
1b2) marble, hewn stones
1c) precious stones, stones of fire
1d) stones containing metal (ore), tool for work or weapon
1e) weight
1f) plummet (stones of destruction) also made of metal
1g) stonelike objects, eg hailstones, stony heart, ice
1h) sacred object, as memorial Samuel set up to mark where God helped Israel to defeat the Philistines
1i) (simile)
1i1) sinking in water, motionlessness
1i2) strength, firmness, solidity
1i3) commonness
1j) (metaph)
1j1) petrified with terror
1j2) perverse, hard heart",a stone,from the root of through the meaning to build;
H69,"1) stone
1a) a (the) stone
1b) stone, material of idols and buildings",{a stone},(Aramaic) corresponding to
H70,"1) wheel, disc
1a) potter's wheel
1b) bearing-stool, midwife's stool",a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between),from the same as ;
H71,"1) river Abana, Syrian river flowing through Damascus","Abanah, a river near Damascus",perhaps feminine of ; stony; Compare .
H72,"Ebenezer = ""stone of help""
1) memorial stone erected by Samuel to mark where God helped Israel to defeat the Philistines-north of Jerusalem","Eben-ha-Ezer, a place in Palestine",from and with the article inserted; stone of the help;
H73,"1) girdle, sash, waistband
1a) of high priest
1b) of other priests
1c) of high official",a belt,of uncertain derivation;
H74,"Abner = ""my father is a lamp""
1) Saul's cousin and army captain, treacherously slain by Joab","Abner, an Israelite",or (fully) ; from and ; father of light (i.e. enlightening);
H75,"1) to feed, fatten
1a) (Qal) fattened (passive participle)",to fodder,a primitive root;
H76,"1) blisters, boils (from root, to swell up)",an inflammatory pustule (as eruption),(by reduplication) from an unused root (meaning to belch forth);
H77,"Abez = ""I will make white (or miry)""
1) a city in Issachar","Ebets, a place in Palestine",from an unused root probably meaning to gleam; conspicuous;
H78,"Ibzan, ""their whiteness (literally their tin ÔÇö as white""
1) a Bethlehemite judge in time of the judges","Ibtsan, an Israelite",from the same as ; splendid;
H79,"1) (Niphal) to wrestle, grapple (get dusty), bedust","to bedust, i.e. grapple","a primitive root, probably to float away (as vapor), but used only as denominative from ;"
H80,"1) dust
1a) on ground
1b) clouds (fig.)",light particles (as volatile),from root of ;
H81,"1) aromatic powders, powder",{light particles (as volatile)},feminine of
H82,1) (Hiphil) to fly (to move wings),to soar,a primitive root;
H83,"1) pinion, wing
1a) of bird (dove, eagle)
1b) of Babylonian king (fig.)",a pinion,from ;
H84,"1) pinion, wing
1a) of bird (ostrich, eagle, dove)
1b) of God (metaph)",{a pinion},feminine of
H85,"Abraham = ""father of a multitude"" or ""chief of multitude""
1) friend of God and founder of Hebrew nation via God's elective covenant","Abraham, the later name of Abram",contracted from and an unused root (probably meaning to be populous); father of a multitude;
H86,"1) (meaning dubious) -a shout made to announce Joseph's chariot
1a) command
1b) bow",kneel,probably an Egyptian word meaning
H87,"Abram = ""exalted father""
1) original name of Abraham","Abram, the original name of Abraham",contracted from ; high father;
H88,"Oboth = ""waterskins""
1) undetermined site of an Israelite camp in the wilderness (perhaps at east boundary of Moab)","Oboth, a place in the Desert",plural of ; water-skins;
H89,"Agee = ""I shall increase""
1) father of a warrior of David","Age, an Israelite",of uncertain derivation (compare );
H90,"Agag = ""I will overtop""
1) king of Amalek, spared by Saul but slain by Samuel","Agag, a title of Amalekitish kings",or ; of uncertain derivation (compare ); flame;
H91,"Agagite = ""I will overtop""
1) said of Haman, Haman the Agagite",an Agagite or descendent (subject) of Agag,patrial or patronymic from ;
H92,"1) band, binding
1a) cords, bands, thongs (metaphorical of slavery)
1b) bunch of hyssop
1c) band of men, troops
1d) vault (of the heavens), firmament (binding earth to the heavens)","a band, bundle, knot, or arch",feminine passive participle of an unused root (meaning to bind);
H93,1) nuts,a nut,prob of Persian origin;
H94,"Agur = ""gathered""
1) son of Jakeh, an author or compiler of Pr 30:1-33","Agur, a fanciful name for Solomon",passive participle of ; gathered (i.e. received among the sages);
H95,"1) payment, piece, coin","properly, something gathered, i.e. perhaps a grain or berry; used only of a small (silver) coin",from the same as ;
H96,"1) drop, reserve supply, collections, stores",a reservoir,from an unused root (meaning to flow down or together as drops);
H97,"Eglaim = ""double reservoir""
1) a town in Moab","Eglajim, a place in Moab",dual of .; a double pond;
H98,"1) pool, troubled pool
1a) troubled or muddy (gloomy) pools, marshes
1b) any pool, pond
1c) swamp reeds, reeds, rush(es)",a marsh; hence a rush (as growing in swamps); hence a stockade of reeds,from an unused root (meaning to collect as water);
H99,1) stagnant pond,"figuratively, sad",probably from the same as (in the sense of stagnant water);
H100,"1) rush, bulrush
1a) used as cord or line (of twisted rushes or spun of rush fibre)
1b) of the lowly, insignificant (metaph)
2) sad, drooping
1a) of line of bulrushes
1b) bowing of the head (fig.)
1c) of the lowly (metaph)",a bulrush (as growing there); collectively a rope of bulrushes,"from the same as ; a marshy pool (others from a different root, a kettle); by implication"
H101,"1) bowl, basins
1a) basins used in ritual
1b) human body (metaph), curves of the body (simile)
1c) of family of Eliakim (metaph)",a bowl (as pounded out hollow),probably from ;
H102,"1) wing (of an army), band, army, hordes","(only plural) wings of an army, or crowds of troops",probably from (through the idea of impending); a cover or heap; i.e.
H103,"1) to gather
1a) (Qal) to gather",to harvest,a primitive root;
H104,"1) letter, missive (Aramaic loan-word used in last OT books)",an epistle (as carried by a state courier or postman),(Aramaic) of Persian origin;
H105,"1) vessel, basket, leather bag, basin",a basin,of uncertain derivation;
H106,1) fist,the clenched hand,from (in the sense of grasping);
H107,"1) letter, missive",an epistle,feminine of ;
H108,1) mist,a fog,from the same as (in the sense of enveloping);
H109,"1) to grieve, cause grief
1a) (Hiph) to cause to grieve, to grieve, to cause grief",to languish,a primitive root;
H110,"Adbeel = ""chastened of God""
1) third son of Ishmael and grandson of Abraham","Adbeel, a son of Ishmael",probably from (in the sense of chastisement) and ; disciplined of God;
H111,"Hadad = ""I shall move softly: I shall love""
1) an Edomite enemy God raised up to punish Solomon for his sins","Adad (or Hadad), an Edomite",probably an orthographical variation for ;
H112,"Iddo = ""I will praise him""
1) a chief Israelite during resettlement","Iddo, an Israelite",of uncertain derivation;
H113,"1) firm, strong, lord, master
1a) lord, master
1a1) reference to men
1a1a) superintendent of household, of affairs
1a1b) master
1a1c) king
1a2) reference to God
1a2a) the Lord God
1a2b) Lord of the whole earth
1b) lords, kings
1b1) reference to men
1b1a) proprietor of hill of Samaria
1b1b) master
1b1c) husband
1b1d) prophet
1b1e) governor
1b1f) prince
1b1g) king
1b2) reference to God
1b2a) Lord of lords (probably = ""thy husband, Yahweh"")
1c) my lord, my master
1c1) reference to men
1c1a) master
1c1b) husband
1c1c) prophet
1c1d) prince
1c1e) king
1c1f) father
1c1g) Moses
1c1h) priest
1c1i) theophanic angel
1c1j) captain
1c1k) general recognition of superiority
1c2) reference to God
1c2a) my Lord, my Lord and my God
1c2b) Adonai (parallel with Yahweh)","sovereign, i.e. controller (human or divine)",or (shortened) ; from an unused root (meaning to rule);
H114,"Addon = ""powerful""
1) an Israelite?","Addon, apparently an Israelite",probably intensive for ; powerful;
